feature,importance
competition_pressure,0.6106571153484031
competitors_within_200m,0.10588701752845082
population_density_proxy,0.07957598913247474
competitors_within_500m,0.06044400999403179
foot_traffic_score,0.056618606204971535
accessibility_score,0.026365276848449595
bus_stops_min_distance,0.011442974481902022
roads_within_500m,0.008381319621047777
bus_stops_within_500m,0.006992438003708029
schools_within_500m,0.006518526301751794
roads_avg_distance,0.005228834991538636
schools_min_distance,0.0050799483883344175
hospitals_min_distance,0.005030045663108911
competitors_min_distance,0.004888882813338961
competitors_avg_distance,0.0030405190362346687
hospitals_within_500m,0.002405514763921234
schools_within_200m,0.0014429808783320175
